State/UT,2020,2021,2022
Andhra Pradesh,188997,179611,158547
Arunachal Pradesh,2244,2626,2308
Assam,111558,119883,59315
Bihar,194698,186006,211079
Chhattisgarh,65216,70519,73822
Goa,3393,2099,2711
Gujarat,381849,273056,134600
Haryana,103276,112720,125435
Himachal Pradesh,14803,13041,13231
Jharkhand,51033,47684,48726
Karnataka,106350,115728,129461
Kerala,149099,142643,235858
Madhya Pradesh,283881,304066,298578
Maharashtra,394017,367218,374038
Manipur,2349,2484,3029
Meghalaya,2871,2672,2914
Mizoram,1787,2467,3587
Nagaland,1022,1033,1008
Odisha,108533,124956,143414
Punjab,49870,46454,43738
Rajasthan,193279,214552,236090
Sikkim,504,532,549
Tamil Nadu,891700,322852,193913
Telangana,135885,146131,151849
Tripura,4010,4133,3653
Uttar Pradesh,355110,357905,401787
Uttarakhand,13812,15704,16967
West Bengal,158060,157498,156503
Andaman and Nicobar Islands,482,386,460
Chandigarh,2583,2401,2941
Dadra and Nagar Haveli and Daman and Diu,441,490,1184
Delhi,249192,291904,300429
Jammu and Kashmir,25233,27447,25915
Ladakh,387,519,439
Lakshadweep,107,89,64
Puducherry,6725,3851,3237
